,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.00018749062499900937,0.0001499924999992519,0.9998779296875,0.0001220703125
2,0.00025,0.00046869140624883343,0.00037495312499902234,0.999755859375,0.000244140625
3,0.0005,0.0009372656250001832,0.0007498125000001687,0.9993896484375,0.0006103515625
4,0.00075,0.0014057226562504965,0.0011245781250004416,0.9984130859375,0.0015869140625
5,0.001,0.0018740624999986633,0.0014992499999989528,0.9976806640625,0.0023193359375
6,0.0025,0.004681640624997652,0.003745312499998099,0.994873046875,0.005126953125
7,0.005,0.009351562500000021,0.007481249999999995,0.9921875,0.0078125
8,0.0075,0.014009765625000004,0.011207812500000025,0.9896240234375,0.0103759765625
9,0.01,0.01865624999999982,0.014924999999999855,0.98583984375,0.01416015625
10,0.025,0.04628906250000009,0.03703125000000007,0.9627685546875,0.0372314453125
11,0.05,0.09140625000000258,0.0731250000000021,0.9273681640625,0.0726318359375
12,0.075,0.13535156249999825,0.10828124999999855,0.884765625,0.115234375
13,0.1,0.1781249999999981,0.14249999999999852,0.85986328125,0.14013671875
