,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15
1,0.0001,8189,1,1,1,0.9996337890625,0.0003662109375,0.0001874906249986763,0.00014999249999902986
2,0.00025,8191,0,0,1,0.9998779296875,0.0001220703125,0.00046869140624794525,0.0003749531249983562
3,0.0005,8185,2,2,3,0.9991455078125,0.0008544921875,0.0009372656250002942,0.0007498125000001687
4,0.00075,8184,2,2,4,0.9990234375,0.0009765625,0.0014057226562494973,0.0011245781249996645
5,0.001,8177,3,5,7,0.9981689453125,0.0018310546875,0.0018740624999988853,0.0014992499999990638
6,0.0025,8164,10,10,8,0.99658203125,0.00341796875,0.004681640624996541,0.003745312499997211
7,0.005,8126,24,18,24,0.991943359375,0.008056640625,0.009351562499999133,0.007481249999999329
8,0.0075,8092,35,35,30,0.98779296875,0.01220703125,0.014009765624999782,0.011207812499999803
9,0.01,8079,36,41,36,0.9862060546875,0.0137939453125,0.01865624999999871,0.014924999999998967
10,0.025,7892,119,92,89,0.96337890625,0.03662109375,0.046289062499998423,0.03703124999999863
11,0.05,7570,218,194,210,0.924072265625,0.075927734375,0.09140625000000113,0.073125000000001
12,0.075,7300,314,295,283,0.89111328125,0.10888671875,0.13535156249999813,0.10828124999999855
13,0.1,7054,351,390,397,0.861083984375,0.138916015625,0.17812499999999742,0.14249999999999796
