,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,4.440892098500626e-16,3.3306690738754696e-16
1,0.0001,8190,0,0,2,0.999755859375,0.000244140625,0.00018749062499989755,0.00014999249999991804
2,0.00025,8190,1,1,0,0.999755859375,0.000244140625,0.0004686914062501657,0.00037495312500013256
3,0.0005,8183,2,3,4,0.9989013671875,0.0010986328125,0.0009372656250019595,0.000749812500001612
4,0.00075,8178,5,5,4,0.998291015625,0.001708984375,0.0014057226562509406,0.0011245781250007747
5,0.001,8185,3,2,2,0.9991455078125,0.0008544921875,0.0018740624999999955,0.001499249999999952
6,0.0025,8169,12,7,4,0.9971923828125,0.0028076171875,0.00468164062499854,0.0037453124999988763
7,0.005,8122,14,34,22,0.991455078125,0.008544921875,0.00935156250000091,0.007481250000000772
8,0.0075,8099,38,26,29,0.9886474609375,0.0113525390625,0.014009765625001336,0.011207812500001024
9,0.01,8074,42,46,30,0.985595703125,0.014404296875,0.018656250000000152,0.014925000000000188
10,0.025,7888,106,99,99,0.962890625,0.037109375,0.04628906250000009,0.03703125000000007
11,0.05,7594,220,177,201,0.927001953125,0.072998046875,0.09140625000000213,0.07312500000000166
12,0.075,7287,316,294,295,0.8895263671875,0.1104736328125,0.1353515624999999,0.10828124999999988
13,0.1,7034,407,378,373,0.858642578125,0.141357421875,0.1781249999999991,0.1424999999999994
