,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.00018749062499900937,0.0001499924999992519,1.0,0.0
2,0.00025,0.00046869140624883343,0.00037495312499902234,0.9998779296875,0.0001220703125
3,0.0005,0.0009372656250001832,0.0007498125000001687,0.999267578125,0.000732421875
4,0.00075,0.0014057226562504965,0.0011245781250004416,0.9989013671875,0.0010986328125
5,0.001,0.0018740624999986633,0.0014992499999989528,0.9984130859375,0.0015869140625
6,0.0025,0.004681640624997652,0.003745312499998099,0.9954833984375,0.0045166015625
7,0.005,0.009351562500000021,0.007481249999999995,0.992919921875,0.007080078125
8,0.0075,0.014009765625000004,0.011207812500000025,0.990234375,0.009765625
9,0.01,0.01865624999999982,0.014924999999999855,0.985107421875,0.014892578125
10,0.025,0.04628906250000009,0.03703125000000007,0.965087890625,0.034912109375
11,0.05,0.09140625000000258,0.0731250000000021,0.9278564453125,0.0721435546875
12,0.075,0.13535156249999825,0.10828124999999855,0.8927001953125,0.1072998046875
13,0.1,0.1781249999999981,0.14249999999999852,0.8583984375,0.1416015625
