,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8187,2,2,1,0.9993896484375,0.0006103515625,0.0003999300040002929,0.0003199440032002343
2,0.00025,8185,2,2,3,0.9991455078125,0.0008544921875,0.0009995625625012217,0.0007996500500009329
3,0.0005,8171,3,12,6,0.9974365234375,0.0025634765625,0.0019982505000009088,0.0015986004000007048
4,0.00075,8169,7,13,3,0.9971923828125,0.0028076171875,0.0029960641874997584,0.0023968513499997846
5,0.001,8147,11,27,7,0.9945068359375,0.0054931640625,0.003993003999999578,0.0031944031999996403
6,0.0025,8113,17,44,18,0.9903564453125,0.0096435546875,0.009956312500000397,0.007965050000000362
7,0.005,8022,48,82,40,0.979248046875,0.020751953125,0.01982550000000116,0.015860400000000885
8,0.0075,7935,60,136,61,0.9686279296875,0.0313720703125,0.02960793750000046,0.02368635000000041
9,0.01,7887,80,151,74,0.9627685546875,0.0372314453125,0.03930400000000356,0.03144320000000289
10,0.025,7366,205,414,207,0.899169921875,0.100830078125,0.09568750000000081,0.07655000000000067
11,0.05,6642,425,747,378,0.810791015625,0.189208984375,0.18300000000000083,0.14640000000000053
12,0.075,5992,578,1066,556,0.7314453125,0.2685546875,0.2623125000000004,0.20985000000000031
13,0.1,5397,737,1328,730,0.6588134765625,0.3411865234375,0.3340000000000004,0.2672000000000003
