,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.0003999300040002929,0.0003199440032002343
2,0.00025,8179,5,4,4,0.9984130859375,0.0015869140625,0.0009995625625006666,0.0007996500500005999
3,0.0005,8168,10,10,4,0.9970703125,0.0029296875,0.0019982505000002426,0.0015986004000001497
4,0.00075,8173,6,8,5,0.9976806640625,0.0023193359375,0.0029960641874995364,0.0023968513499996735
5,0.001,8163,8,16,5,0.9964599609375,0.0035400390625,0.003993003999999134,0.0031944031999993072
6,0.0025,8123,19,34,16,0.9915771484375,0.0084228515625,0.009956312499998177,0.007965049999998586
7,0.005,8045,41,79,27,0.9820556640625,0.0179443359375,0.019825500000000273,0.01586040000000022
8,0.0075,7948,64,112,68,0.97021484375,0.02978515625,0.029607937500000014,0.023686349999999967
9,0.01,7849,91,170,82,0.9581298828125,0.0418701171875,0.03930400000000478,0.03144320000000389
10,0.025,7399,188,416,189,0.9031982421875,0.0968017578125,0.09568750000000015,0.07655000000000012
11,0.05,6744,340,694,414,0.8232421875,0.1767578125,0.18300000000000038,0.1464000000000002
12,0.075,6048,570,1038,536,0.73828125,0.26171875,0.26231250000000017,0.2098500000000001
13,0.1,5405,728,1321,738,0.6597900390625,0.3402099609375,0.33399999999999985,0.2671999999999999
