,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8190,0,0,2,0.999755859375,0.000244140625,0.00018749062499834324,0.0001499924999986968
2,0.00025,8190,1,1,0,0.999755859375,0.000244140625,0.0004686914062486114,0.0003749531249989113
3,0.0005,8186,2,1,3,0.999267578125,0.000732421875,0.0009372656249997391,0.0007498124999998357
4,0.00075,8179,5,5,3,0.9984130859375,0.0015869140625,0.0014057226562486091,0.0011245781249989983
5,0.001,8182,2,4,4,0.998779296875,0.001220703125,0.0018740624999979971,0.0014992499999983977
6,0.0025,8165,12,7,8,0.9967041015625,0.0032958984375,0.0046816406249967635,0.003745312499997433
7,0.005,8133,20,21,18,0.9927978515625,0.0072021484375,0.009351562499999022,0.007481249999999329
8,0.0075,8091,34,33,34,0.9876708984375,0.0123291015625,0.014009765624999337,0.01120781249999947
9,0.01,8076,47,31,38,0.98583984375,0.01416015625,0.018656249999998487,0.014924999999998745
10,0.025,7877,108,94,113,0.9615478515625,0.0384521484375,0.0462890624999982,0.03703124999999863
11,0.05,7612,202,188,190,0.92919921875,0.07080078125,0.09140625000000069,0.07312500000000066
12,0.075,7345,280,285,282,0.8966064453125,0.1033935546875,0.1353515624999979,0.10828124999999833
13,0.1,7021,397,380,394,0.8570556640625,0.1429443359375,0.17812499999999698,0.14249999999999763
