,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.00018749062499934244,0.00014999249999936293
2,0.00025,8188,3,0,1,0.99951171875,0.00048828125,0.0004686914062497216,0.0003749531249997995
3,0.0005,8184,3,2,3,0.9990234375,0.0009765625,0.0009372656250017375,0.00074981250000139
4,0.00075,8187,1,1,3,0.9993896484375,0.0006103515625,0.0014057226562500524,0.0011245781249999975
5,0.001,8179,4,3,6,0.9984130859375,0.0015869140625,0.0018740624999991073,0.0014992499999992859
6,0.0025,8164,9,8,11,0.99658203125,0.00341796875,0.004681640624998318,0.0037453124999986542
7,0.005,8123,25,15,29,0.9915771484375,0.0084228515625,0.009351562500000465,0.007481250000000328
8,0.0075,8113,23,27,29,0.9903564453125,0.0096435546875,0.014009765625000226,0.011207812500000136
9,0.01,8053,50,42,47,0.9830322265625,0.0169677734375,0.018656250000000152,0.014925000000000188
10,0.025,7890,93,106,103,0.963134765625,0.036865234375,0.046289062499999534,0.03703124999999974
11,0.05,7552,208,233,199,0.921875,0.078125,0.09140625000000169,0.07312500000000133
12,0.075,7279,310,298,305,0.8885498046875,0.1114501953125,0.1353515624999988,0.108281249999999
13,0.1,7075,404,361,352,0.8636474609375,0.1363525390625,0.17812499999999887,0.14249999999999896
