,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8189,0,3,0,0.9996337890625,0.0003662109375,0.0003999300040002929,0.0003199440032002343
2,0.00025,8180,4,5,3,0.99853515625,0.00146484375,0.0009995625625012217,0.0007996500500009329
3,0.0005,8173,7,7,5,0.9976806640625,0.0023193359375,0.0019982505000009088,0.0015986004000007048
4,0.00075,8179,2,6,5,0.9984130859375,0.0015869140625,0.0029960641874997584,0.0023968513499997846
5,0.001,8164,9,13,6,0.99658203125,0.00341796875,0.003993003999999578,0.0031944031999996403
6,0.0025,8108,23,35,26,0.98974609375,0.01025390625,0.009956312500000397,0.007965050000000362
7,0.005,8030,39,87,36,0.980224609375,0.019775390625,0.01982550000000116,0.015860400000000885
8,0.0075,7971,50,114,57,0.9730224609375,0.0269775390625,0.02960793750000046,0.02368635000000041
9,0.01,7856,91,159,86,0.958984375,0.041015625,0.03930400000000356,0.03144320000000289
10,0.025,7404,213,376,199,0.90380859375,0.09619140625,0.09568750000000081,0.07655000000000067
11,0.05,6719,413,687,373,0.8201904296875,0.1798095703125,0.18300000000000083,0.14640000000000053
12,0.075,6093,554,1024,521,0.7437744140625,0.2562255859375,0.2623125000000004,0.20985000000000031
13,0.1,5424,745,1308,715,0.662109375,0.337890625,0.3340000000000004,0.2672000000000003
