,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,0.09980029370376642,0.07984023496301307
1,0.0001,8189,1,0,2,0.9996337890625,0.0003662109375,0.10015059524219194,0.08012047619375351
2,0.00025,8180,1,6,5,0.99853515625,0.00146484375,0.1006758203900362,0.080540656312029
3,0.0005,8178,6,6,2,0.998291015625,0.001708984375,0.10155059009071155,0.08124047207256913
4,0.00075,8167,6,17,2,0.9969482421875,0.0030517578125,0.10242460312691504,0.08193968250153216
5,0.001,8164,8,17,3,0.99658203125,0.00341796875,0.10329785981976713,0.08263828785581373
6,0.0025,8109,27,42,14,0.9898681640625,0.0101318359375,0.10852153445463841,0.08681722756371069
7,0.005,8052,42,69,29,0.98291015625,0.01708984375,0.11716736388781035,0.09373389111024832
8,0.0075,7962,76,115,39,0.971923828125,0.028076171875,0.12573810135735086,0.10059048108588065
9,0.01,7864,80,171,77,0.9599609375,0.0400390625,0.13423406621734335,0.10738725297387464
10,0.025,7357,263,435,137,0.8980712890625,0.1019287109375,0.18365751440484301,0.1469260115238743
11,0.05,6641,475,737,339,0.8106689453125,0.1893310546875,0.2602610220028967,0.20820881760231735
12,0.075,6073,621,1017,481,0.7413330078125,0.2586669921875,0.3299301705726483,0.26394413645811865
13,0.1,5517,783,1252,640,0.6734619140625,0.3265380859375,0.39298431418881696,0.3143874513510536
