,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8189,2,1,0,0.9996337890625,0.0003662109375,0.00039993000399918266,0.00031994400319934613
2,0.00025,8184,1,6,1,0.9990234375,0.0009765625,0.0009995625624996674,0.0007996500499997117
3,0.0005,8173,3,10,6,0.9976806640625,0.0023193359375,0.0019982504999991324,0.0015986003999992615
4,0.00075,8165,5,13,9,0.9967041015625,0.0032958984375,0.002996064187498426,0.0023968513499987854
5,0.001,8159,7,20,6,0.9959716796875,0.0040283203125,0.003993003999998024,0.003194403199998419
6,0.0025,8123,19,32,18,0.9915771484375,0.0084228515625,0.009956312499998843,0.00796504999999903
7,0.005,8031,37,90,34,0.9803466796875,0.0196533203125,0.01982549999999983,0.015860399999999886
8,0.0075,7937,61,126,68,0.9688720703125,0.0311279296875,0.029607937499998793,0.02368634999999908
9,0.01,7882,80,154,76,0.962158203125,0.037841796875,0.03930400000000256,0.031443200000002114
10,0.025,7404,198,368,222,0.90380859375,0.09619140625,0.09568749999999926,0.07654999999999945
11,0.05,6645,399,723,425,0.8111572265625,0.1888427734375,0.18299999999999927,0.14639999999999953
12,0.075,6046,563,1023,560,0.738037109375,0.261962890625,0.2623124999999997,0.20984999999999976
13,0.1,5440,750,1276,726,0.6640625,0.3359375,0.33399999999999763,0.2671999999999981
