,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,4417,396,3162,217,0.5391845703125,0.4608154296875,0.36580810808412856,0.29264648646730285
1,0.0001,4433,384,3103,272,0.5411376953125,0.4588623046875,0.36592244074559166,0.2927379525964733
2,0.00025,4496,409,3046,241,0.548828125,0.451171875,0.3660939182993427,0.2928751346394741
3,0.0005,4414,378,3165,235,0.538818359375,0.461181640625,0.36637965705307196,0.29310372564245757
4,0.00075,4425,430,3087,250,0.5401611328125,0.4598388671875,0.3666653243453134,0.29333225947625075
5,0.001,4422,422,3096,252,0.539794921875,0.460205078125,0.3669509201760677,0.2935607361408541
6,0.0025,4440,393,3132,227,0.5419921875,0.4580078125,0.36866299446938167,0.2949303955755054
7,0.005,4455,406,3075,256,0.5438232421875,0.4561767578125,0.3715107347059895,0.29720858776479164
8,0.0075,4249,454,3206,283,0.5186767578125,0.4813232421875,0.37435132879394617,0.299481063035157
9,0.01,4380,446,3068,298,0.53466796875,0.46533203125,0.3771847767332539,0.30174782138660317
10,0.025,4270,447,3128,347,0.521240234375,0.478759765625,0.39403539524747433,0.3152283161979794
11,0.05,4180,587,3017,408,0.51025390625,0.48974609375,0.421548067545927,0.3372384540367416
12,0.075,4118,615,2933,526,0.502685546875,0.497314453125,0.4483461249794818,0.35867689998358543
13,0.1,3889,750,2944,609,0.4747314453125,0.5252685546875,0.4744295675481429,0.3795436540385143
