,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8188,0,3,1,0.99951171875,0.00048828125,0.00018749062499834324,0.0001499924999986968
2,0.00025,8191,0,1,0,0.9998779296875,0.0001220703125,0.0004686914062486114,0.0003749531249989113
3,0.0005,8186,3,3,0,0.999267578125,0.000732421875,0.0009372656249997391,0.0007498124999998357
4,0.00075,8188,0,1,3,0.99951171875,0.00048828125,0.0014057226562486091,0.0011245781249989983
5,0.001,8182,6,2,2,0.998779296875,0.001220703125,0.0018740624999979971,0.0014992499999983977
6,0.0025,8165,7,12,8,0.9967041015625,0.0032958984375,0.0046816406249967635,0.003745312499997433
7,0.005,8139,21,16,16,0.9935302734375,0.0064697265625,0.009351562499999022,0.007481249999999329
8,0.0075,8102,29,34,27,0.989013671875,0.010986328125,0.014009765624999337,0.01120781249999947
9,0.01,8083,41,39,29,0.9866943359375,0.0133056640625,0.018656249999998487,0.014924999999998745
10,0.025,7886,93,104,109,0.962646484375,0.037353515625,0.0462890624999982,0.03703124999999863
11,0.05,7593,230,195,174,0.9268798828125,0.0731201171875,0.09140625000000069,0.07312500000000066
12,0.075,7324,300,299,269,0.89404296875,0.10595703125,0.1353515624999979,0.10828124999999833
13,0.1,7010,394,391,397,0.855712890625,0.144287109375,0.17812499999999698,0.14249999999999763
