,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.10336542866019749,0.08269234292815797,0.890380859375,0.109619140625
1,0.0001,0.10371666849020622,0.08297333479216495,0.887939453125,0.112060546875
2,0.00025,0.10424329973066304,0.08339463978453043,0.886962890625,0.113037109375
3,0.0005,0.10512040954783308,0.08409632763826647,0.890869140625,0.109130859375
4,0.00075,0.10599675843519885,0.08479740674815905,0.8878173828125,0.1121826171875
5,0.001,0.106872346716256,0.08549787737300485,0.8883056640625,0.1116943359375
6,0.0025,0.11210992161186573,0.08968793728949254,0.8795166015625,0.1204833984375
7,0.005,0.12077857933523883,0.09662286346819116,0.882568359375,0.117431640625
8,0.0075,0.12937172428123433,0.1034973794249876,0.87060546875,0.12939453125
9,0.01,0.1378896789007944,0.11031174312063552,0.8621826171875,0.1378173828125
10,0.025,0.18743646700993755,0.14994917360795001,0.8370361328125,0.1629638671875
11,0.05,0.26421418832984767,0.21137135066387813,0.78955078125,0.21044921875
12,0.075,0.3340210435093849,0.2672168348075079,0.724609375,0.275390625
13,0.1,0.3971794834380076,0.31774358675040604,0.6859130859375,0.3140869140625
