,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16
1,0.0001,8190,1,1,0,0.999755859375,0.000244140625,0.00018749062499889835,0.00014999249999902986
2,0.00025,8190,1,0,1,0.999755859375,0.000244140625,0.00046869140624883343,0.00037495312499902234
3,0.0005,8186,1,2,3,0.999267578125,0.000732421875,0.0009372656250006273,0.0007498125000005018
4,0.00075,8187,2,2,1,0.9993896484375,0.0006103515625,0.0014057226562493863,0.0011245781249995535
5,0.001,8179,6,6,1,0.9984130859375,0.0015869140625,0.001874062499997553,0.0014992499999980646
6,0.0025,8160,15,8,9,0.99609375,0.00390625,0.004681640624997874,0.003745312499998321
7,0.005,8130,23,15,24,0.992431640625,0.007568359375,0.009351562500000465,0.007481250000000328
8,0.0075,8099,25,38,30,0.9886474609375,0.0113525390625,0.01400976562500067,0.01120781250000058
9,0.01,8060,49,42,41,0.98388671875,0.01611328125,0.01865624999999982,0.014924999999999855
10,0.025,7860,125,109,98,0.95947265625,0.04052734375,0.04628906249999898,0.03703124999999918
11,0.05,7557,210,216,209,0.9224853515625,0.0775146484375,0.09140625000000147,0.07312500000000122
12,0.075,7308,292,298,294,0.89208984375,0.10791015625,0.13535156249999825,0.10828124999999855
13,0.1,7019,388,393,392,0.8568115234375,0.1431884765625,0.17812499999999853,0.14249999999999885
