,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8188,0,1,3,0.99951171875,0.00048828125,0.0003999300039978504,0.0003199440031982359
2,0.0005,8179,3,8,2,0.9984130859375,0.0015869140625,0.0019982504999989104,0.0015986003999991505
3,0.001,8160,9,10,13,0.99609375,0.00390625,0.003993003999999134,0.0031944031999993072
4,0.005,8024,40,80,48,0.9794921875,0.0205078125,0.019825500000000273,0.01586040000000022
5,0.01,7881,81,158,72,0.9620361328125,0.0379638671875,0.03930399999999956,0.03144319999999967
6,0.05,6715,416,691,370,0.8197021484375,0.1802978515625,0.18299999999999983,0.14639999999999986
7,0.1,5433,758,1248,753,0.6632080078125,0.3367919921875,0.33399999999999985,0.2671999999999999
