,Error probability,p_success,p_logical_error
0,0.0,0.78857421875,0.21142578125
1,0.0001,0.7769775390625,0.2230224609375
2,0.00025,0.7799072265625,0.2200927734375
3,0.0005,0.7689208984375,0.2310791015625
4,0.00075,0.783203125,0.216796875
5,0.001,0.7742919921875,0.2257080078125
6,0.0025,0.77392578125,0.22607421875
7,0.005,0.7628173828125,0.2371826171875
8,0.0075,0.7703857421875,0.2296142578125
9,0.01,0.757080078125,0.242919921875
10,0.025,0.7274169921875,0.2725830078125
11,0.05,0.6800537109375,0.3199462890625
12,0.075,0.6351318359375,0.3648681640625
13,0.1,0.5941162109375,0.4058837890625
