,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.00018749062499900937,0.0001499924999992519,1.0,0.0
2,0.00025,0.00046869140624883343,0.00037495312499902234,0.999755859375,0.000244140625
3,0.0005,0.0009372656250001832,0.0007498125000001687,0.9996337890625,0.0003662109375
4,0.00075,0.0014057226562504965,0.0011245781250004416,0.9991455078125,0.0008544921875
5,0.001,0.0018740624999986633,0.0014992499999989528,0.99853515625,0.00146484375
6,0.0025,0.004681640624997652,0.003745312499998099,0.99560546875,0.00439453125
7,0.005,0.009351562500000021,0.007481249999999995,0.99169921875,0.00830078125
8,0.0075,0.014009765625000004,0.011207812500000025,0.9886474609375,0.0113525390625
9,0.01,0.01865624999999982,0.014924999999999855,0.9827880859375,0.0172119140625
10,0.025,0.04628906250000009,0.03703125000000007,0.9647216796875,0.0352783203125
11,0.05,0.09140625000000258,0.0731250000000021,0.930908203125,0.069091796875
12,0.075,0.13535156249999825,0.10828124999999855,0.8905029296875,0.1094970703125
13,0.1,0.1781249999999981,0.14249999999999852,0.8524169921875,0.1475830078125
