,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.06795374423380951,0.054362995387047475,0.93212890625,0.06787109375
2,0.00025,0.06850289707476875,0.054802317659815025,0.9287109375,0.0712890625
3,0.0005,0.06941751603132251,0.0555340128250581,0.9375,0.0625
4,0.00075,0.07033134055459611,0.056265072443676845,0.9337158203125,0.0662841796875
5,0.001,0.07124437098262149,0.05699549678609728,0.9239501953125,0.0760498046875
6,0.0025,0.07670589634252523,0.061364717074020136,0.9307861328125,0.0692138671875
7,0.005,0.08574513560797481,0.06859610848637987,0.9166259765625,0.0833740234375
8,0.0075,0.09470553834697493,0.07576443067757987,0.9136962890625,0.0863037109375
9,0.01,0.1035874417632563,0.08286995341060499,0.9095458984375,0.0904541015625
10,0.025,0.155249259892408,0.12419940791392636,0.871337890625,0.128662109375
11,0.05,0.2352971467738234,0.1882377174190587,0.8099365234375,0.1900634765625
12,0.075,0.3080683477170534,0.24645467817364275,0.7650146484375,0.2349853515625
13,0.1,0.3739000664479947,0.29912005315839574,0.7154541015625,0.2845458984375
