,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,1.0,0.8
1,0.0001,8191,1,0,0,0.9998779296875,0.0001220703125,0.999987500625,0.7999900005
2,0.00025,8189,1,0,2,0.9996337890625,0.0003662109375,0.9999687539062501,0.799975003125
3,0.0005,8185,4,1,2,0.9991455078125,0.0008544921875,0.9999375156249999,0.7999500125
4,0.00075,8183,3,1,5,0.9989013671875,0.0010986328125,0.9999062851562499,0.799925028125
5,0.001,8173,4,5,10,0.9976806640625,0.0023193359375,0.9998750625,0.7999000500000001
6,0.0025,8163,12,7,10,0.9964599609375,0.0035400390625,0.999687890625,0.7997503125
7,0.005,8133,19,23,17,0.9927978515625,0.0072021484375,0.9993765624999998,0.7995012499999998
8,0.0075,8102,29,32,29,0.989013671875,0.010986328125,0.9990660156249999,0.7992528124999999
9,0.01,8057,52,43,40,0.9835205078125,0.0164794921875,0.99875625,0.799005
10,0.025,7873,103,104,112,0.9610595703125,0.0389404296875,0.9969140624999999,0.7975312499999999
11,0.05,7600,214,190,188,0.927734375,0.072265625,0.99390625,0.795125
12,0.075,7268,308,312,304,0.88720703125,0.11279296875,0.9909765625,0.79278125
13,0.1,6977,401,394,420,0.8516845703125,0.1483154296875,0.988125,0.7905
