,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.038330390637982825,0.03066431251038626,0.962158203125,0.037841796875
1,0.0001,0.03871119653049415,0.03096895722439541,0.9635009765625,0.0364990234375
2,0.00025,0.03928215653816958,0.03142572523053566,0.9599609375,0.0400390625
3,0.0005,0.04023309319243773,0.032186474553950184,0.9605712890625,0.0394287109375
4,0.00075,0.04118320095456396,0.0329465607636511,0.9588623046875,0.0411376953125
5,0.001,0.042132480178332266,0.03370598414266579,0.9559326171875,0.0440673828125
6,0.0025,0.04781077602694839,0.038248620821558665,0.954345703125,0.045654296875
7,0.005,0.057208554865695094,0.04576684389255603,0.9498291015625,0.0501708984375
8,0.0075,0.06652408079831695,0.05321926463865356,0.94384765625,0.05615234375
9,0.01,0.07575770728929454,0.06060616583143563,0.9345703125,0.0654296875
10,0.025,0.12945937448558964,0.10356749958847167,0.8974609375,0.1025390625
11,0.05,0.2126458707321941,0.17011669658575523,0.840576171875,0.159423828125
12,0.075,0.2882433887550965,0.23059471100407714,0.779052734375,0.220947265625
13,0.1,0.3566054379315817,0.28528435034526534,0.733642578125,0.266357421875
