,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,4.440892098500626e-16,3.3306690738754696e-16
1,0.0001,8190,0,2,0,0.999755859375,0.000244140625,0.00039993000400107004,0.00031994400320090044
2,0.00025,8185,0,5,2,0.9991455078125,0.0008544921875,0.0009995625625016658,0.000799650050001377
3,0.0005,8174,3,10,5,0.997802734375,0.002197265625,0.0019982505000009088,0.0015986004000007048
4,0.00075,8170,4,12,6,0.997314453125,0.002685546875,0.0029960641874999805,0.0023968513500000066
5,0.001,8161,10,14,7,0.9962158203125,0.0037841796875,0.003993004000000244,0.0031944032000001954
6,0.0025,8099,27,41,25,0.9886474609375,0.0113525390625,0.00995631250000062,0.007965050000000473
7,0.005,8014,43,84,51,0.978271484375,0.021728515625,0.019825500000001606,0.01586040000000133
8,0.0075,7924,58,134,76,0.96728515625,0.03271484375,0.02960793750000068,0.023686350000000522
9,0.01,7866,85,154,87,0.960205078125,0.039794921875,0.039304000000004,0.031443200000003224
10,0.025,7422,171,386,213,0.906005859375,0.093994140625,0.09568750000000159,0.07655000000000134
11,0.05,6712,385,692,403,0.8193359375,0.1806640625,0.18300000000000094,0.14640000000000075
12,0.075,6031,566,989,606,0.7362060546875,0.2637939453125,0.26231250000000117,0.20985000000000098
13,0.1,5524,714,1233,721,0.67431640625,0.32568359375,0.3340000000000001,0.2672000000000001
