,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.0003999300040002929,0.0003199440032002343
2,0.00025,8185,1,4,2,0.9991455078125,0.0008544921875,0.0009995625625006666,0.0007996500500005999
3,0.0005,8177,5,6,4,0.9981689453125,0.0018310546875,0.0019982505000002426,0.0015986004000001497
4,0.00075,8168,6,12,6,0.9970703125,0.0029296875,0.0029960641874995364,0.0023968513499996735
5,0.001,8160,7,17,8,0.99609375,0.00390625,0.003993003999999134,0.0031944031999993072
6,0.0025,8106,21,34,31,0.989501953125,0.010498046875,0.009956312499998177,0.007965049999998586
7,0.005,8024,41,77,50,0.9794921875,0.0205078125,0.019825500000000273,0.01586040000000022
8,0.0075,7960,54,123,55,0.9716796875,0.0283203125,0.029607937500000014,0.023686349999999967
9,0.01,7885,73,152,82,0.9625244140625,0.0374755859375,0.03930400000000478,0.03144320000000389
10,0.025,7473,199,343,177,0.9122314453125,0.0877685546875,0.09568750000000015,0.07655000000000012
11,0.05,6712,445,673,362,0.8193359375,0.1806640625,0.18300000000000038,0.1464000000000002
12,0.075,6066,540,1043,543,0.740478515625,0.259521484375,0.26231250000000017,0.2098500000000001
13,0.1,5491,710,1223,768,0.6702880859375,0.3297119140625,0.33399999999999985,0.2671999999999999
