,Error probability,p_success,p_logical_error
0,0.0,0.5115966796875,0.4884033203125
1,0.0001,0.5057373046875,0.4942626953125
2,0.00025,0.4993896484375,0.5006103515625
3,0.0005,0.5072021484375,0.4927978515625
4,0.00075,0.49267578125,0.50732421875
5,0.001,0.498046875,0.501953125
6,0.0025,0.4969482421875,0.5030517578125
7,0.005,0.4903564453125,0.5096435546875
8,0.0075,0.4840087890625,0.5159912109375
9,0.01,0.4869384765625,0.5130615234375
10,0.025,0.4600830078125,0.5399169921875
11,0.05,0.43798828125,0.56201171875
12,0.075,0.3985595703125,0.6014404296875
13,0.1,0.37890625,0.62109375
