,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15,1.0,0.0
1,0.0001,0.0001874906249986763,0.00014999249999902986,1.0,0.0
2,0.00025,0.00046869140624794525,0.0003749531249983562,0.999755859375,0.000244140625
3,0.0005,0.0009372656250002942,0.0007498125000001687,0.9991455078125,0.0008544921875
4,0.00075,0.0014057226562494973,0.0011245781249996645,0.9989013671875,0.0010986328125
5,0.001,0.0018740624999988853,0.0014992499999990638,0.9981689453125,0.0018310546875
6,0.0025,0.004681640624996541,0.003745312499997211,0.9962158203125,0.0037841796875
7,0.005,0.009351562499999133,0.007481249999999329,0.9923095703125,0.0076904296875
8,0.0075,0.014009765624999782,0.011207812499999803,0.9876708984375,0.0123291015625
9,0.01,0.01865624999999871,0.014924999999998967,0.9852294921875,0.0147705078125
10,0.025,0.046289062499998423,0.03703124999999863,0.96142578125,0.03857421875
11,0.05,0.09140625000000113,0.073125000000001,0.925537109375,0.074462890625
12,0.075,0.13535156249999813,0.10828124999999855,0.889404296875,0.110595703125
13,0.1,0.17812499999999742,0.14249999999999796,0.857421875,0.142578125
