,Error probability,p_success,p_logical_error
0,0.0,0.0,1.0
1,0.0001,0.0,1.0
2,0.00025,0.0,1.0
3,0.0005,0.0,1.0
4,0.00075,0.0,1.0
5,0.001,0.0,1.0
6,0.0025,0.0,1.0
7,0.005,0.0,1.0
8,0.0075,0.0,1.0
9,0.01,0.0,1.0
10,0.025,0.0,1.0
11,0.05,0.0,1.0
12,0.075,0.0,1.0
13,0.1,0.0,1.0
