,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0
1,0.0001,0.0003999300040002929,0.0003199440032002343,1.0,0.0
2,0.00025,0.0009995625625012217,0.0007996500500009329,0.9989013671875,0.0010986328125
3,0.0005,0.0019982505000009088,0.0015986004000007048,0.99853515625,0.00146484375
4,0.00075,0.0029960641874997584,0.0023968513499997846,0.9979248046875,0.0020751953125
5,0.001,0.003993003999999578,0.0031944031999996403,0.996826171875,0.003173828125
6,0.0025,0.009956312500000397,0.007965050000000362,0.9932861328125,0.0067138671875
7,0.005,0.01982550000000116,0.015860400000000885,0.9866943359375,0.0133056640625
8,0.0075,0.02960793750000046,0.02368635000000041,0.9754638671875,0.0245361328125
9,0.01,0.03930400000000356,0.03144320000000289,0.9686279296875,0.0313720703125
10,0.025,0.09568750000000081,0.07655000000000067,0.9271240234375,0.0728759765625
11,0.05,0.18300000000000083,0.14640000000000053,0.87060546875,0.12939453125
12,0.075,0.2623125000000004,0.20985000000000031,0.802001953125,0.197998046875
13,0.1,0.3340000000000004,0.2672000000000003,0.763671875,0.236328125
